"","ABBREVIATION","NICKNAME","SEASON","Points","Tirs Reussis","Tirs Tentees","% Tirs","3 Points Reussis","3 Points Tentes","% 3 Poins","Lancer Franc Reussi","Lancer Franc Tente","% Lancer Franc","Passes Decisives","Rebond Offensif","Rebond Defensif","Rebond","Interception","Contre","Ballons Perdus"
"515","UTA","Jazz",2017,104.197916666667,38.3229166666667,83.09375,46.1200952739125,10.7604166666667,29.5625,36.3988724453841,16.7916666666667,21.875,76.7619047619048,22.1979166666667,9.16666666666667,34.3333333333333,43.5,8.63541666666667,5.08333333333333,14.3020833333333
"516","UTA","Jazz",2018,111.222222222222,40.1666666666667,86.3222222222222,46.5310850817351,12.0555555555556,34.0555555555556,35.3996737357259,18.8333333333333,25.4888888888889,73.8884045335658,25.8888888888889,10.0111111111111,36.3888888888889,46.4,8.27777777777778,5.8,14.9
"517","UTA","Jazz",2019,111.244186046512,39.9418604651163,84.6279069767442,47.19703215169,13.4651162790698,35.2209302325581,38.2304390888082,17.8953488372093,23.0232558139535,77.7272727272727,22.3139534883721,9.04651162790698,35.3953488372093,44.4418604651163,6.08139534883721,3.88372093023256,14.546511627907
"518","UTA","Jazz",2020,120.348837209302,42.3604651162791,90.5116279069767,46.8011305241521,17.3604651162791,44.4418604651163,39.0633176347462,18.2674418604651,22.8953488372093,79.7866937531742,24.0697674418605,10.8837209302326,38.3372093023256,49.2209302325581,6.54651162790698,5.01162790697674,13.8953488372093
"519","UTA","Jazz",2021,112.467391304348,40.2173913043478,86.0978260869565,46.711273829062,14.1630434782609,39.8913043478261,35.5040871934605,17.8695652173913,23.2717391304348,76.7865483418963,22.0978260869565,10.5978260869565,35.6195652173913,46.2173913043478,7.08695652173913,4.85869565217391,13.1304347826087
"520","UTA","Jazz",2022,115.410256410256,42.0769230769231,89.9230769230769,46.792130025663,14.3589743589744,39.3333333333333,36.5058670143416,16.8974358974359,22.2051282051282,76.0969976905312,25.8205128205128,11.974358974359,32.025641025641,44,7.23076923076923,4.7948717948718,15.5384615384615
"521","MEM","Grizzlies",2003,96.093023255814,35.8837209302326,80.7790697674419,44.4220526846121,5.37209302325581,15.8720930232558,33.8461538461538,18.953488372093,26.0116279069767,72.8654447921323,22.9418604651163,12.6162790697674,28.8488372093023,41.4651162790698,9.68604651162791,6.80232558139535,14.3720930232558
"522","MEM","Grizzlies",2004,93.5581395348837,34.4186046511628,76.7906976744186,44.8213204118716,6.53488372093023,18.1860465116279,35.9335038363171,18.1860465116279,24.1511627906977,75.300914780934,20.9186046511628,10.8139534883721,28.046511627907,38.8604651162791,8.33720930232558,5.74418604651163,13.6860465116279
"523","MEM","Grizzlies",2005,91.8023255813954,33.3255813953488,74.3139534883721,44.8443123141918,7.03488372093023,18.906976744186,37.2078720787208,18.1162790697674,25.4651162790698,71.1415525114155,19.093023255814,10.0813953488372,28.8720930232558,38.953488372093,7.19767441860465,5.31395348837209,13.0232558139535
"524","MEM","Grizzlies",2006,101.59756097561,36.5609756097561,78.6341463414634,46.4950372208437,6.09756097560976,16.609756097561,36.7107195301028,22.3780487804878,29.390243902439,76.1410788381743,20.4878048780488,10.5609756097561,28.9634146341463,39.5243902439024,6.8780487804878,4.96341463414634,15.7560975609756
"525","MEM","Grizzlies",2007,100.69512195122,37.3170731707317,82.1585365853659,45.4208104497551,7.5609756097561,21.6951219512195,34.8510399100618,18.5,25.5731707317073,72.341440152599,19.1951219512195,10.3414634146341,31.3048780487805,41.6463414634146,6.13414634146342,4.70731707317073,14.7682926829268
"526","MEM","Grizzlies",2008,93.8780487804878,34.9390243902439,76.9634146341463,45.3969260022183,4.85365853658537,13.4878048780488,35.9855334538879,19.1463414634146,25.3292682926829,75.5897929706307,17.3536585365854,10.3292682926829,28.5,38.8292682926829,7.5,4.69512195121951,14.1951219512195
"527","MEM","Grizzlies",2009,102.487804878049,39.3048780487805,83.8414634146341,46.88,4.19512195121951,12.4390243902439,33.7254901960784,19.6829268292683,26.8536585365854,73.2970027247956,18.8170731707317,13.0487804878049,30.4390243902439,43.4878048780488,7.86585365853659,4.86585365853659,14.4756097560976
"528","MEM","Grizzlies",2010,99.7578947368421,38.7052631578947,83.0842105263158,46.5855821614088,3.77894736842105,11.4,33.1486611265005,18.5684210526316,24.7052631578947,75.1597784405624,20.3789473684211,11.9157894736842,29.3578947368421,41.2736842105263,9.21052631578947,5.46315789473684,13.2947368421053
"529","MEM","Grizzlies",2011,94.6438356164384,36.3424657534247,81.5890410958904,44.543317662861,4.12328767123288,12.7671232876712,32.2961373390558,17.8356164383562,23.5479452054795,75.7417102966841,19.2328767123288,12.6712328767123,29.4383561643836,42.1095890410959,9.32876712328767,5.19178082191781,14
