"","PLAYER_NAME","SEASON","TEAM_ID","Points","Passes_décisives","Rebonds_Offensifs","Rebonds_Défensifs","Rebonds","Interceptions","Contres","Balles_Perdues","LEAGUE_ID","MIN_YEAR","MAX_YEAR","ABBREVIATION","NICKNAME","YEARFOUNDED","CITY","ARENA","ARENACAPACITY","OWNER","GENERALMANAGER","HEADCOACH","DLEAGUEAFFILIATION"
"5448","Jericho Sims",2021,1610612752,2.38636363636364,0.545454545454546,1.56818181818182,2.77272727272727,4.34090909090909,0.318181818181818,0.522727272727273,0.477272727272727,0,1946,2019,"NYK","Knicks",1946,"New York","Madison Square Garden",19763,"Cablevision (James Dolan)","Steve Mills","David Fizdale","Westchester Knicks"
"5449","Jericho Sims",2022,1610612752,3.7037037037037,0.333333333333333,1.66666666666667,2.33333333333333,4,0.222222222222222,0.62962962962963,0.444444444444444,0,1946,2019,"NYK","Knicks",1946,"New York","Madison Square Garden",19763,"Cablevision (James Dolan)","Steve Mills","David Fizdale","Westchester Knicks"
"5450","Jermaine Jackson",2004,1610612752,2,1.14285714285714,0.142857142857143,0.952380952380952,1.0952380952381,0.333333333333333,0.0476190476190476,0.476190476190476,0,1946,2019,"NYK","Knicks",1946,"New York","Madison Square Garden",19763,"Cablevision (James Dolan)","Steve Mills","David Fizdale","Westchester Knicks"
"5451","Jermaine Jackson",2005,1610612749,1.09375,0.84375,0.25,0.59375,0.84375,0.125,0.03125,0.40625,0,1968,2019,"MIL","Bucks",1968,"Milwaukee","Fiserv Forum",17500,"Wesley Edens & Marc Lasry","Jon Horst","Mike Budenholzer","Wisconsin Herd"
"5452","Jermaine O'Neal",2003,1610612754,19.9255319148936,1.9468085106383,2.36170212765957,7.46808510638298,9.82978723404255,0.712765957446808,2.5,2.23404255319149,0,1976,2019,"IND","Pacers",1976,"Indiana","Bankers Life Fieldhouse",18345,"Herb Simon","Kevin Pritchard","Nate McMillan","Fort Wayne Mad Ants"
"5453","Jermaine O'Neal",2004,1610612754,22.3859649122807,1.94736842105263,1.85964912280702,6.7719298245614,8.63157894736842,0.56140350877193,2.14035087719298,2.92982456140351,0,1976,2019,"IND","Pacers",1976,"Indiana","Bankers Life Fieldhouse",18345,"Herb Simon","Kevin Pritchard","Nate McMillan","Fort Wayne Mad Ants"
"5454","Jermaine O'Neal",2005,1610612754,20.1754385964912,2.50877192982456,1.94736842105263,7.19298245614035,9.14035087719298,0.526315789473684,2.29824561403509,3.10526315789474,0,1976,2019,"IND","Pacers",1976,"Indiana","Bankers Life Fieldhouse",18345,"Herb Simon","Kevin Pritchard","Nate McMillan","Fort Wayne Mad Ants"
"5455","Jermaine O'Neal",2006,1610612754,19.4057971014493,2.42028985507246,2.21739130434783,7.36231884057971,9.57971014492754,0.72463768115942,2.63768115942029,2.94202898550725,0,1976,2019,"IND","Pacers",1976,"Indiana","Bankers Life Fieldhouse",18345,"Herb Simon","Kevin Pritchard","Nate McMillan","Fort Wayne Mad Ants"
"5456","Jermaine O'Neal",2007,1610612754,13.5952380952381,2.21428571428571,1.95238095238095,4.78571428571429,6.73809523809524,0.476190476190476,2.07142857142857,2.52380952380952,0,1976,2019,"IND","Pacers",1976,"Indiana","Bankers Life Fieldhouse",18345,"Herb Simon","Kevin Pritchard","Nate McMillan","Fort Wayne Mad Ants"
"5457","Jermaine O'Neal",2008,1610612748,13.030303030303,1.93939393939394,1.87878787878788,3.33333333333333,5.21212121212121,0.424242424242424,1.90909090909091,1.87878787878788,0,1988,2019,"MIA","Heat",1988,"Miami","AmericanAirlines Arena",19600,"Micky Arison","Pat Riley","Erik Spoelstra","Sioux Falls Skyforce"
